asrn	17907 
debenture	17574 20834 15511 19155 15193 15349 19241 
oi	20618 
lowell	17585 
leak	18186 
feedgrain	15952 14858 
job	17915 19505 17480 17700 18888 17486 18186 16158 19828 18472 16354 20186 
crandall	16926 
office	19344 19113 17597 19082 16270 17897 18509 20485 17993 20611 14826 18682 17906 15872 19556 18086 17915 16510 17783 21536 18479 17901 19255 17480 18348 20247 18985 17970 21575 16226 18302 15961 16794 21562 17805 21532 18337 19653 17486 18185 20893 16091 16564 15838 20186 20216 17780 18614 
craig	18360 
unanswered	21149 
washed	17771 18099 17757 
haq	19835 19947 19982 
estimated	18345 17970 14863 15874 15811 17923 17036 18228 15094 16513 15877 14984 15859 14843 15866 16177 20869 21497 15854 15351 18093 16166 21486 20090 15043 16099 15803 21541 15324 14928 18355 18665 17883 20101 20001 18531 15643 15932 15444 15863 19903 19295 14891 21260 19869 17503 15929 19832 18332 17839 15893 15365 15551 15254 19946 17897 17700 15472 15870 15804 19760 15567 15349 15868 16265 14964 20208 15106 17849 19431 14829 18688 15876 18917 19570 15865 15352 15149 19017 16429 18781 18009 15858 16236 15287 16727 17499 15063 17538 21336 15869 15357 16093 19101 
bids	16681 16037 18263 20239 18479 18476 17952 16215 16130 21078 17876 15676 19507 17911 16332 16213 19683 18086 14849 19169 18908 16176 15618 21046 18667 17899 
decades	20500 17521 
83	18347 16372 16420 16623 15864 16810 20344 16264 20598 16599 20648 15043 18602 15900 21357 19865 19978 21275 15985 16642 16454 20453 19165 20364 21016 20324 18487 16817 19045 15921 15914 21416 20365 20440 16628 20791 15875 16367 21142 15578 15909 15380 21337 15881 20180 16644 19690 15442 20896 18096 15389 20972 16890 16380 20600 15460 16246 17661 20822 
unusual	19781 15372 15149 18271 15294 
cgr	20803 
stockpiles	15872 15329 15838 
milton	19295 
temperature	18873 17580 
tigera	19906 
917	21091 19915 21474 
barber	15543 
bullish	17731 19497 14890 18625 18185 19499 17871 15063 
wyly	17700 
fabk	17822 16664 
featured	19781 
information	15894 21367 18146 21013 15372 15344 20812 18080 20186 15091 19763 17873 21006 17906 15110 15351 20262 19683 20767 19136 18071 16723 14918 15545 21030 20618 19968 14941 21517 20459 17863 18638 18024 18575 20485 16611 21501 16740 14949 15970 16656 16875 21216 20911 
smls	15060 
mean	21497 15861 19668 21542 16226 17886 14826 18774 20039 15617 20001 16146 20649 19028 18085 
gangs	18531 17509 
participants	17731 18975 20462 19397 15310 17780 
threatens	19262 19555 19541 14891 20462 
kaufel	19427 21081 
hogs	16009 17823 
jon	19387 
sino	16123 
exception	15219 18231 
wednesday	16636 20458 16770 17748 17662 15840 17036 20868 17470 18222 17760 19483 17812 15987 17577 19097 15504 21539 20774 15454 19122 16053 19286 15951 18221 16071 
decontrol	17886 
keynes	19295 
clearly	20262 15549 18504 17670 19875 16095 17700 15939 19557 19033 19867 20868 15478 16006 
amendment	19411 19255 17823 21030 18782 18861 15313 15341 20216 20911 
shareby	16216 
junior	21469 20432 14833 16163 19679 
developer	17835 15810 21503 15239 20840 19760 16332 
onshore	16593 15366 20632 16885 
respiratory	16175 
fluidized	19291 
usx	18768 18254 15639 21267 18752 18951 
stna	20442 20525 
renato	15121 
pentland	16307 
970	14988 16912 16667 
nelect	19654 
achieved	15452 20341 19083 21131 19918 15567 15468 17896 21251 16897 15194 17883 15375 15478 19828 18849 18024 
unbc	21281 
wohl	19419 
attributibuted	16495 
collectible	16611 
brings	21363 16314 18773 15523 18567 20420 21067 14964 21267 15607 19285 18746 18840 20919 20721 20936 15038 17511 15024 15924 17449 20709 21508 
414	20191 16175 15875 21135 18182 
murray	15107 
woodstock	17589 
roaster	18945 18604 20186 
fhsy	16244 
winners	18071 19882 
008	14882 20699 21103 19368 15853 20976 15875 
meat	20511 19555 15237 16564 19269 16241 20911 20989 18352 16103 15254 20462 19549 17477 
restructuring	15967 20685 17037 21490 16215 15312 19029 18849 21283 21193 19061 15063 18138 15335 16600 16888 21382 14875 21308 16252 19325 15194 20693 15345 15639 16777 15263 20529 16130 15478 19828 21333 14873 15349 19986 19930 14852 19471 21287 16086 21242 16332 15240 21112 17047 21046 18962 
polxf	17661 
adhere	19560 20012 19559 15154 
combustion	19663 19291 
penwest	18602 
campbell	17871 
filipino	14888 
estimate	15854 16188 16196 15523 15510 17812 16251 19930 21123 18902 16285 16166 19480 15855 17930 15906 20101 16495 15643 16009 17970 14891 18858 17503 15929 19367 15893 17700 16107 14919 18490 19000 21321 17036 19291 21535 18109 
securites	19285 
concentration	16278 
declaratory	19241 
rental	15239 18149 17479 
minerals	19426 15803 18945 16117 19505 19295 20653 15811 15389 19764 
whisky	15308 
chemicals	16513 20685 19672 15308 15674 18339 18317 15063 19478 21275 16141 19447 18807 15389 
boart	18567 
mica	19672 
carpets	15149 
productions	16206 19462 19334 15005 
operational	16318 16925 
commerical	17847 17743 15979 21318 
bottomed	18012 19875 17871 17849 18010 
minister	21080 19444 19489 16763 19560 21006 21368 15200 16774 15234 17963 19539 21122 21565 17915 18609 18370 20090 15694 20089 20232 18539 16787 19989 16646 19491 16196 15262 15244 20829 15549 21530 17929 16759 19927 20095 17948 14904 19023 19835 15253 18992 15220 14840 19509 20925 15048 14862 20101 15617 18504 16200 19947 14918 17943 19555 19505 16088 18356 20264 17980 18599 20649 17051 21391 17979 16788 20909 17970 17925 14891 18858 16095 16226 14844 19998 19869 19367 19918 16932 14833 15372 20902 16856 20907 19993 19506 21277 19062 16833 20038 18530 16139 16118 17436 15454 19982 17618 21568 21138 15562 21423 20348 20270 20459 19559 20500 15450 18625 20795 17870 16784 19844 20893 15483 17054 20071 18642 15313 19570 20333 21556 19017 15453 16762 15543 17874 21369 21303 18085 20259 20878 18902 14858 20080 21512 20030 17888 17962 16790 16745 18490 18867 18148 19128 21076 20474 14987 19867 16749 19285 17047 15154 15432 20087 21508 20631 19040 14826 20868 
airports	16370 
devastated	21006 
consumed	20461 
vi	15952 
telzrow	17839 
rushed	17714 
redistributing	16727 
minimise	15013 21561 
encor	15349 
everybody	21006 19191 15239 18873 15410 
centered	21486 16833 
fanned	20048 20496 
adobe	20634 
intermittently	15043 
dynamics	16818 
calculation	18938 16367 
gundy	18075 15595 
knorr	17529 
headed	20052 15244 17883 16006 20774 15276 19760 19241 15063 20678 18187 20662 16794 15964 16316 19275 
bemis	20593 
create	14843 19433 20409 19273 15511 14863 21210 16277 15686 16023 18996 
compute	15736 
manufacture	16369 16555 17986 17901 17763 15556 20267 
35	15822 18703 20461 16625 18840 16331 20385 16545 15307 16427 16278 15351 19480 20721 15911 15725 16668 18602 20468 15043 16583 15922 15026 21541 19679 21460 15103 16642 20221 15211 20728 16775 14832 19927 15906 15797 18340 16916 20936 15728 19497 15856 18479 18873 16630 14862 21388 16200 18531 20476 20181 15632 16040 15109 20975 15921 20170 15914 20406 17540 18765 21490 20862 18985 15121 18563 21542 19142 18858 20628 15438 15910 17965 18749 20213 16619 19807 19267 20279 21557 21416 16654 16103 17812 15987 20931 21315 19642 15737 16717 19294 17035 15889 15841 17700 15409 21573 16377 15584 15875 20358 19458 21067 20920 15413 15573 21106 19381 15567 15759 16367 18849 15625 16053 17054 20473 16126 20252 19833 15391 18908 20180 20129 20395 20804 17488 15136 15352 16354 18795 21267 18210 15406 16585 18728 16277 20896 20826 15853 17877 18736 20583 21386 20490 15708 15213 15565 18048 21262 18148 21251 21202 20546 18495 15238 15923 19304 17477 20709 21240 15832 20672 21571 15916 
roads	21321 
oldham	15425 
applies	17620 19775 17707 18357 
micronetics	20567 
receivership	20458 17643 
underwritten	20039 17488 21019 
therapy	19386 
liberalisation	15110 16759 15372 14873 14858 16226 16777 
builing	21368 
eventualities	20464 
subroto	20095 14844 20030 
outcry	14840 21508 
yearly	19005 18782 18991 18990 
xts	19744 
sf	19283 
propane	21486 21417 15308 19397 15674 17927 
winfried	18086 
described	16357 20005 14881 16723 19367 20907 21078 21423 14912 15625 19570 16148 21368 16171 16094 15239 20925 20882 20666 21149 19998 15581 19767 18325 17871 
responsibility	15872 20719 16146 17925 15961 21002 15838 
eve	15549 
succession	21201 19653 
throws	20259 
super	15028 16787 15326 21051 15141 19745 19856 17574 16774 
provides	19658 18609 16523 19713 18642 19297 17993 21376 18040 18108 19796 19386 15290 20259 19318 19546 
perserve	15352 
berlin	16201 15539 16158 15625 15384 20080 15444 16268 
314	15613 21406 18719 18470 20984 20800 15504 18527 16052 
jerusalem	16707 
1964	18811 19097 
helmut	17906 17883 21023 15539 18095 20774 15625 20080 17448 19867 18086 17915 20868 21508 
takeover	16513 15239 20824 19748 15600 16176 21000 15713 19426 20396 16037 18938 18075 17574 15861 20379 15810 18138 16163 19912 16646 20439 19411 17776 18071 16252 19378 19428 20917 18959 18975 19464 16023 16680 17986 19255 17701 19432 16215 14982 19900 18600 16130 15569 15146 17812 18566 16833 19435 21078 14941 19963 16688 15993 18592 17876 19760 17863 19331 19930 18576 18730 19364 19241 20773 15149 19419 16483 15255 17911 15091 15063 16493 18585 17860 16041 21003 18667 21571 
trillion	19110 14843 15352 
cadwalader	19223 
csys	20652 
purchases	15894 20917 15871 20264 20649 15975 19751 15450 16784 19690 17707 19499 19050 19444 20457 16177 20525 16774 16357 19683 21486 15303 18557 20232 16787 16094 17731 20797 19731 16026 17930 16021 19869 19713 15386 15893 14833 14919 20945 17576 16075 17950 20698 18014 18527 20137 15111 19040 15916 20766 
accepted	16681 19912 14849 20239 19181 16316 15816 15927 18277 18086 18263 18521 17760 18904 18275 14885 18276 21404 19318 19322 17911 15271 20868 15916 
903	17035 
ufbc	18062 
wrote	18911 16777 16158 
233	20228 15026 15103 20324 16175 20174 16735 20920 16145 15552 18470 20105 20286 21489 
congress	20461 19377 15303 20865 16200 21391 16794 17494 15804 14912 18849 19033 16357 20624 18108 19433 20439 14881 19478 18257 16094 21187 20828 18996 19432 14982 18302 19403 18066 17039 18472 16214 15352 20186 18328 20890 15656 18271 18614 19756 14987 18357 17036 15154 16926 
diverted	16257 21369 
prd	20937 
crucially	15472 
augenthaler	17812 
night	19489 16357 19411 16094 15048 21002 20774 15450 15625 15656 19050 17036 18228 19165 15689 18873 16833 19506 17911 14872 
suspended	15798 20835 18798 15932 18604 16097 16367 16225 15620 15227 15988 19489 14984 20682 18835 15968 20792 17494 19982 19507 19318 21550 19492 
drexel	16443 15742 21419 16278 19683 
samuel	17825 19483 15198 15063 20137 16513 21469 
river	20058 17771 20398 19238 15696 15901 18186 21526 19199 15710 20790 15728 17813 16071 19684 18177 15930 14842 
ald	19762 21260 17782 19975 15238 
pont	15964 20710 16667 
intention	16026 16512 16770 17876 20905 17707 18323 20489 15452 21319 15404 19181 15375 20462 17863 15450 
kwik	18479 18476 
receive	16171 17776 21525 16723 18531 17738 17573 19968 16216 18229 21404 16519 19549 16379 17593 16460 15736 16443 17612 18138 16409 17922 16583 17507 19796 19341 16714 19962 18686 16211 17529 18658 16851 14941 16648 19666 17816 16676 17822 16591 16677 18973 16277 21550 17622 20811 16727 17538 17632 21401 16332 17860 15808 19059 16093 19285 
grl	15094 18627 
borax	15389 
ami	21244 
loses	14873 
635	17682 15065 15906 15871 15438 21266 15875 18571 20593 15205 15406 15853 
factions	19428 15372 
issuer	20725 19833 
grandad	15363 
perpich	19411 19255 
influencing	20262 
spokane	19764 
miller	16903 17823 16852 15292 16332 16875 
ipipf	18217 
retired	20869 19505 21013 19930 
725	21096 16080 15890 16765 15079 16441 15045 
advance	17620 17901 16009 21013 15230 16079 16216 21570 21210 18360 21152 16310 19483 18531 
absb	14998 15585 20545 
advisor	19683 15037 17775 19713 17573 19751 19760 21419 18229 
recouped	15639 
306	18955 15980 21146 21178 20968 15581 20545 15482 
consulate	16107 
754	19865 14960 20365 
16	21526 20159 17547 15448 16331 16438 20598 19658 17593 19742 16684 19560 20217 20299 21363 20807 20304 16213 15351 20919 19556 20721 20334 21274 16324 16188 14962 16152 20058 18713 21091 20005 20363 15335 16282 21330 17478 15026 14882 18176 20517 18564 16809 16144 16802 20191 18496 15523 19198 20432 19927 20883 15906 19915 15797 19509 20207 21435 20882 19497 20414 20634 16055 17883 21237 21103 20775 18798 21219 18362 15871 19803 18465 19561 21233 17986 19541 15914 14967 16635 17901 16565 15692 15477 18481 20247 17479 17970 18563 18497 18519 15925 14891 14981 16120 21265 15055 20628 20438 19020 15023 15359 19529 20117 15258 19998 20166 18621 16619 19832 15263 20529 19648 19672 15878 16816 19270 20420 17573 20443 20771 14876 20241 17812 15410 19571 16399 21557 21429 20838 17577 15515 19435 16735 21405 21297 15327 21359 17875 15417 20455 16251 14919 21012 20945 17543 20270 21394 20976 15817 15573 15875 21067 16525 19559 16367 18120 15045 21437 16284 15868 20274 15625 17964 15120 20673 21408 19680 16815 21419 21113 14964 21073 20646 16244 15380 20984 18488 19767 20311 16795 18229 18509 16147 20395 20804 21561 18051 15800 15136 21404 21267 20564 18210 21287 18317 19546 18973 15436 21354 19499 20969 15615 14858 21386 15973 16161 15283 15753 20561 20400 20527 20545 21393 18483 18549 15281 21262 19022 19128 17538 21380 21401 17993 21251 18924 14949 17860 20226 15594 19562 16143 20972 21427 16615 20546 19674 21336 16814 21376 16317 21228 19285 18860 19304 20284 21358 20535 15727 17988 18068 20766 
seeing	16201 19684 20186 
vasily	20474 
administrator	16271 19403 15254 15237 
spearhead	16551 
thrown	15253 
watta	21032 
convening	20922 
la	20502 15545 15531 17816 15556 18614 18906 19444 19489 15043 17922 15417 15964 14926 18730 
flotilla	17979 19684 
leslie	19378 18150 16565 
aguila	15194 
pleased	16163 20335 20769 15450 15352 
railway	16076 18963 16097 18842 15112 
narjes	19367 
harvey	17706 19935 18906 
nearing	18360 
nominate	15335 
became	20446 18303 16449 15372 17876 16072 20596 20186 20706 17731 15459 20515 16095 19760 18625 20545 21538 21508 16083 
delegations	15817 
surprises	18146 15442 19285 15460 
ixl	17053 14888 18029 
energy	20869 18911 17968 17054 17809 20793 15520 16577 15351 19359 17963 16651 18217 17612 18108 17958 20517 15593 19478 16077 15250 16499 16437 20453 18493 17929 20095 21453 18340 20666 18828 15322 15639 17986 15979 15093 19699 18146 21131 19998 14844 18066 17812 16833 18932 17875 18283 16463 15913 18782 18253 17816 15344 16238 15349 18638 19844 19471 14829 16739 15939 18917 16429 15198 18085 20878 15389 17780 18009 20030 16783 15063 19812 21076 19663 18186 15238 19285 17880 
attention	14881 15239 19378 16215 16006 20038 14890 15625 15656 21006 16871 16565 16009 17970 16777 16130 14912 20048 21369 19028 
teted	20186 
pershing	16513 
hrs	18222 15097 20723 
bridge	15501 20824 19387 19918 17782 
employer	16533 18849 14959 16749 16093 
potpourri	17700 
beaten	20500 19653 
shortfalls	19165 18280 15656 
gatw	20931 
votuporanga	15540 
bost	19178 
fiia	16806 
reafforestation	17664 
approvals	21140 16796 18079 17984 16155 20095 19713 15308 16216 15892 21251 15561 17770 16420 14978 17716 18654 15778 17595 18040 21318 
772	17492 15906 15871 21034 17617 16415 15984 
75p	15427 15387 
spring	16201 16171 16271 19668 16359 15871 14982 15893 16158 17618 14873 15858 20611 16196 18345 16268 15639 15097 15864 
momentum	16513 15549 15220 19751 18009 
situations	16723 
painstakingly	17871 
preliminary	20887 17503 14978 20093 17863 16925 15128 15917 17579 16779 21387 16755 15335 16583 18071 18811 19462 16630 17872 20101 18487 
indictments	20186 
century	14843 18101 17652 18849 16611 18086 17915 
schmidt	17915 21508 
rtz	18774 15380 15389 
automobiles	20341 
reflection	21542 15212 
chokepoint	17750 
hadson	16463 
sickly	15063 
height	20790 
kellwood	19935 
colored	18811 
ab	16427 21293 18567 15584 20485 17911 18223 21541 16488 
tractors	19549 
prosperity	20039 20865 
reappearance	19101 
degrade	15254 
northeastern	18217 18345 16739 
spoiled	20019 
bryson	16680 
peat	21538 
379	21100 16812 18830 15221 20401 20531 15875 16316 16574 16052 15482 18625 15062 
yielding	15194 15574 14890 15567 19721 
uchida	15372 
owners	21576 21371 14921 16179 17816 17849 21526 15314 19489 16438 17612 16212 
novc	21278 
recapitalizing	18138 
resistance	19483 18621 18035 16649 16565 16162 16607 15442 20259 15460 21508 
formally	19377 20462 20878 
scarcely	15625 
rhon	17580 21007 
endorsing	21210 
2661	17576 
earlier	20778 21080 18482 19444 21475 19110 16684 18075 21006 16369 16766 19041 16755 17053 20396 21497 21392 21502 14988 16357 15351 20262 15861 15810 18138 21541 19191 15026 19411 14993 15103 21382 16094 17731 14849 20898 15549 21530 15239 19005 18851 16359 14921 21443 19428 19165 20925 15253 15220 15296 16134 18061 17760 20101 16200 19505 15762 19464 20828 19799 20264 16496 15093 17980 20792 16140 17551 16009 18599 15733 20824 15511 17970 19432 19082 21131 16095 21149 21013 19334 19403 18621 15337 18470 19367 16270 21002 15893 15365 19087 14888 20907 19946 15424 16407 16006 17463 19968 16399 21277 19551 18865 21562 16251 16688 17897 15841 14919 15489 21473 20025 19029 16525 14873 18888 19290 15045 20500 19986 14923 16367 19653 20744 15226 16784 16053 16265 16434 16075 18466 20208 19721 15581 18509 17849 15960 16339 19471 16644 19690 16762 16481 21123 19570 15309 20441 21369 16527 15425 19307 16885 17923 17877 15219 20890 15912 18672 20787 18781 16929 15917 17896 17448 16745 18490 20811 16727 16783 19006 19065 16853 19044 15212 21466 19562 20035 15240 14900 21228 19101 14911 16093 16336 15686 20868 16343 15550 16779 21508 16667 20631 
flgla	16641 
concerns	17750 17670 19255 14863 18142 20048 15313 15095 19285 14826 19478 18257 17714 19387 
though	16171 16600 15549 16146 19432 19367 18275 19760 17036 17760 15617 18849 16216 15384 15352 19000 18994 20959 19285 
jacksonville	19451 17746 19412 
silver	18489 16009 19082 16248 19957 18013 19152 15264 17654 19764 21314 17714 
fefac	16146 
endata	16815 
accomplished	20693 17506 
clercq	20511 20989 19546 
bridges	16354 
woolworth	15011 15742 15012 21404 
sunflower	15043 19630 
mcchip	19874 
coupon	15481 21260 16149 17911 15471 16163 15691 15416 17620 
05	16074 15430 21218 18176 20324 20235 15875 20267 15944 19507 15180 16642 15833 16775 15906 20264 15979 15937 19360 14960 18563 15925 21131 16744 16179 16725 18514 19294 17876 17700 15504 20500 16068 21113 15715 21431 18096 16874 14983 18490 21298 19044 15768 21466 
bad	20262 15574 14828 14891 18185 20259 17923 17477 
within	16752 17986 14982 19368 17886 17876 15450 15483 15556 15442 18744 14843 16774 15452 15396 18329 20624 16796 16787 19191 21371 15549 20095 15501 19509 17620 18992 20335 16200 16211 15455 15717 18150 16565 16146 19780 17970 19713 17503 15146 15375 18566 20093 16811 17960 17595 14890 18576 19844 15453 15400 20333 17488 19684 21550 18328 15095 15656 18271 16745 18614 17579 21251 21477 17519 16403 19285 15460 18040 17477 15432 16148 
073	16598 15888 16592 14970 
brunt	17871 
731	16888 20376 16717 15704 18606 20499 20507 
maintains	19540 16784 20389 
reinforcements	17509 
odetics	17753 
juice	15855 16630 16850 15929 16784 15847 14858 16627 15960 
slim	16856 16929 19964 
decree	19444 21536 
twice	18086 19679 16777 21078 19684 21477 16711 16211 18576 19122 
staffing	16564 18924 
outgoing	18086 14849 16200 15444 
rnd	15642 
quintal	19549 
michaels	17551 
query	18337 15264 15091 20959 
epidemic	21536 15254 
disastrous	18099 19557 
chirac	19867 
495	15900 15871 20440 20657 20545 14954 
quel	18531 
principle	19271 18079 21041 15296 16286 19699 17559 15349 17625 19297 17457 16519 18882 15629 16379 18489 19912 19473 17973 17798 20982 19258 19447 19702 16233 18654 17752 16570 21143 17595 19006 15591 19890 16718 15664 
feelings	17839 
sunflowerseed	15043 15500 20550 18781 15917 
walk	14839 19510 
availability	16144 21536 14863 18849 15556 19101 21046 
srd	16438 16680 17048 19810 
2011	17873 19241 
192	20747 16719 20138 21224 15844 19427 21190 15864 19050 17032 
17p	16207 
dechamps	20898 
biggest	16318 20005 18945 15194 16680 18604 14891 17839 15417 17700 20500 18849 19318 21567 18781 16749 19083 20001 16226 18621 16072 20270 16750 15106 14852 15063 19006 14826 16343 
grimes	20679 
prince	17534 17925 17585 16749 19505 20719 
uncollectible	16590 
tools	21368 16932 16794 21423 20314 20787 18148 18104 16926 17687 20186 
obligations	15345 16130 16139 18638 17519 16112 16256 16215 20910 
iniezione	17950 
hss	15728 
stra	21227 
sloane	18360 
chemical	19426 18138 20685 21272 17580 15674 17784 16303 15063 17036 15363 20159 16513 20339 17563 19683 15325 20138 16495 16315 17630 20117 15569 15254 14941 15308 18480 20145 16367 18888 16126 16142 18688 14930 20259 21007 17477 16897 
weinberger	21006 21465 20464 21443 20981 20101 21013 18328 18231 21459 20632 21492 21501 
comanav	15531 15726 
dental	17775 
exchequer	15234 16133 20764 17980 15636 20496 17966 14861 20039 18050 15048 20532 15617 20893 16075 
79	17900 17922 15691 15387 20949 18482 21017 16112 15307 15396 21148 15103 16600 14921 15906 20680 18769 20324 21378 21388 16587 15762 21146 20264 15921 15914 21260 20174 20391 19713 20166 15383 20021 20168 18052 20038 16428 17887 19933 19294 15864 16136 15584 15573 15875 21106 16238 19930 19767 15960 15406 20132 18317 19322 20896 20826 20938 15858 
sees	15314 15325 17783 19004 18095 15841 15801 21076 16502 16369 20869 16112 16080 14928 18108 16196 15602 21130 16589 16824 19927 18012 15194 18873 16023 15639 15162 16711 14967 20989 18911 18985 15511 15539 18280 19998 15522 15242 18066 14833 19918 15703 15472 20769 19559 16826 15226 15625 15674 15310 15636 18674 18213 18085 15641 16574 16885 17881 15389 16108 15292 15213 17962 16745 18490 14933 14987 16853 17036 15598 20377 19101 16604 21535 16779 
forward	15520 16171 20262 15223 16163 16196 17731 17930 19781 17980 18985 15372 19968 15171 17896 17632 14931 14840 16630 17760 16215 14891 19403 16130 17877 17622 17966 21493 19040 
398	20385 19651 15906 17760 18828 21222 17630 18530 15757 20904 15548 15890 20363 20507 20885 
prerecorded	17960 
426	15188 19978 19761 15953 
tarriffs	15223 
benefited	14867 17965 
excluding	15103 15032 16908 16286 16312 19418 15950 17897 16367 15674 16644 16783 15854 16871 16213 15122 15929 15210 
merged	14843 19462 18567 16747 15451 16648 
as	21080 20461 16307 21469 18489 17470 16763 19658 20620 19110 18482 20159 19344 21475 16513 16264 17750 15520 16577 19560 14984 21006 19377 21197 18744 16112 17906 14843 16256 15798 21368 15452 15110 15616 15200 18075 17574 16171 15854 16774 15234 18938 21140 20446 16278 16213 18329 16029 18093 19556 20624 17915 20835 16357 15351 20262 19683 15736 21201 21293 18086 21486 17710 19534 16636 16409 15223 18557 18609 14951 15890 18370 20090 16443 18217 17612 15303 20814 15043 20005 14903 17922 15335 16274 18355 17507 16163 20232 15742 20469 16488 16787 19433 17478 18252 19191 15922 14865 19341 16271 15560 16155 21503 15894 16196 14993 15952 15582 15602 18564 18257 19262 15103 20464 17776 16144 20210 20052 19075 16923 16094 21187 17731 21525 15549 21530 19668 19169 19448 15239 15928 14849 18993 20458 16005 19950 16775 15855 15605 14921 16252 18774 20039 20095 17948 20865 18050 16723 18875 18700 18071 16589 18811 17930 21443 19325 16765 21367 21248 19165 20925 18157 16449 20882 19159 15860 20666 21536 15194 20693 20764 14931 18835 15689 17894 19497 17883 17502 15296 14840 17813 16257 17872 16286 18895 20335 15617 18504 16200 17760 21496 20101 19483 18944 16279 18531 15871 20678 20116 19505 17580 17771 15444 19464 20662 18996 17986 18975 16088 15345 15932 16023 20828 16268 20719 16680 15639 17913 18686 16211 15921 15455 15596 19255 16496 16770 18300 21128 15914 17829 14913 17562 17048 17509 18342 18520 18150 16140 21031 14867 17551 16565 16009 20989 17775 18348 16607 21391 17979 16788 15511 17970 17952 18604 16146 16162 20649 20079 16747 18352 18911 17479 20824 19432 16215 20220 21542 17925 15925 14891 19810 21260 21131 19761 15610 15910 16095 15539 15451 14982 18146 18858 15500 15438 21149 21013 21575 16226 19713 19403 17652 18621 17506 16777 15739 18600 15263 16130 19998 19869 16179 16893 18332 19042 15878 19918 21002 17839 17573 18724 20667 15312 19807 19367 16475 19087 15372 16856 14888 20907 17443 15569 21030 15551 15375 16103 15478 15410 20931 16158 19946 20618 21506 20021 18297 16833 20462 20093 17038 15987 16006 16399 21277 16195 17886 15653 21517 14863 15579 18658 16794 16190 16851 21078 14941 16648 19511 19386 15364 18530 15726 16287 15417 21539 16139 19540 16118 17876 16873 15864 17700 15913 16072 21573 18995 18142 17816 14975 15413 14890 16676 17960 20025 21423 20769 16628 18577 17618 21568 19751 16430 17863 18571 20048 18899 15567 20500 16068 16300 19758 19664 19760 16238 21038 19559 15349 15578 18991 15450 18625 18136 20256 18160 19930 15246 18730 20744 18849 19649 15226 15625 16216 16784 15310 16053 17651 19874 18185 17576 16075 17827 18554 15128 16402 20300 20893 18595 21408 15179 16091 14909 15568 18466 20045 15112 19721 16602 15581 19127 14959 20632 21210 15494 16909 20888 17644 19471 18229 16176 18488 20034 15556 17849 21459 19767 18642 20267 17521 16739 18688 14930 15939 16159 17874 16481 21123 15384 20441 15352 16852 21267 19684 21561 20186 17907 15453 18591 17927 19775 15313 18917 19570 15400 17784 15029 19297 21404 17707 15149 19017 15479 19028 16483 18973 18213 19318 14842 19546 15255 21369 15406 19557 21303 15411 18085 18317 15442 17714 20259 17452 19499 16086 17923 17877 19734 15615 18328 20890 14858 15912 15973 18672 15656 16108 15425 20557 19307 16652 18752 18239 21567 17457 20389 17966 17837 18360 16161 21492 18182 16415 21411 20030 15917 15213 17896 16649 17962 16790 19786 15565 17448 18490 18614 21152 19756 16444 16236 15431 18994 15287 18325 16727 17871 14872 15091 16283 20698 19006 21251 17538 15840 19737 15429 17499 18148 15620 15063 19128 16241 20489 17519 14933 19065 19867 19663 15970 18585 15808 20382 18238 18357 21321 19964 18924 18990 15227 14987 15503 17654 15561 17036 15212 16069 16645 20911 19351 15664 15363 17047 19272 18104 14900 21216 16718 21376 15238 14911 16093 18231 19285 17864 19101 21046 18962 15154 15460 15999 16926 21318 20087 15020 14922 16604 17516 17568 21019 18228 14826 20868 21493 18540 16148 21508 
talk	20005 16680 21542 15531 15384 17477 18329 21486 15446 18186 
tin	15624 21264 14832 14844 19367 15817 15112 15219 17731 20458 21525 14877 19037 18924 19065 
ellemann	19555 
soliciting	19263 
hammering	19497 
discreet	15444 
rothschild	19285 
hua	15409 
pmfg	17682 
279	18828 20274 20904 
angeles	14921 16512 19702 21030 21278 15467 19751 
entourage	15005 
upcm	16796 16795 18921 
tailgates	18280 
rebates	14988 15394 14885 15618 
barter	17473 18621 16107 17923 
indicating	14941 20911 15432 21542 21131 
build	16513 17915 21541 17986 17886 19540 18991 16784 15556 19684 21321 16123 18146 18191 21567 16161 17871 19006 20489 
mfc	18242 
shareholkders	15037 
tfty	20140 
trillium	20380 
regularly	18938 16029 18660 17048 18095 20230 19297 21508 
transit	15906 
separating	15956 
bbl	18706 18655 18773 18692 18705 18754 18743 18824 18678 18701 19182 18747 18795 18707 18680 18789 18728 18704 
intented	15803 
usg	15726 
dklbb	15640 17827 
competitives	16681 
condtions	18108 18066 
outcome	17620 16195 20071 21202 14826 15472 14885 17863 14923 15349 15450 20893 15264 17966 15656 
remains	20262 17478 19875 15666 20769 20795 21523 19028 21019 16264 16577 17470 19136 19169 18367 18873 19483 18362 19453 19799 16226 19713 16777 16430 18991 16574 16108 21321 15212 
wtaf	15739 
fed	21541 21130 21128 15092 20343 16236 20868 20159 16331 16681 19229 21151 14843 19416 19478 18670 15549 18763 18296 15689 21157 16383 16908 19237 19201 19689 16565 20989 17770 21285 15242 15049 18668 18750 18724 15677 19418 20462 15987 21297 17577 16072 18142 19726 16650 15246 20263 21172 15310 16053 15951 18674 15976 18472 18051 15977 15352 16852 21343 19028 20259 19734 15615 19693 17871 15096 17036 15212 
033	16719 16376 21360 20135 21209 20473 20885 20600 
drain	19201 15364 18051 17896 14861 14849 16133 
dresser	17792 17809 
